 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Control Effort
   210    1.859               0              15               5         -0.0299;
   211    1.868               0              15               5         -0.0299;
   212    1.877               0              15               5         -0.0299;
   213    1.886               0              15               5         -0.0299;
   214    1.895               0              15               5         -0.0299;
   215    1.904               0              15               5         -0.0299;
   216    1.913               0              15               5         -0.0299;
   217    1.921               0              15               5         -0.0299;
   218    1.930               0              15               5         -0.0299;
   219    1.939               0              15               5         -0.0299;
   220    1.948               0              15               5         -0.0299;
   221    1.957               0              15               5         -0.0299;
   222    1.966               0              15               5         -0.0299;
   223    1.974               0              15               5         -0.0299;
   224    1.983               0              15               5         -0.0299;
   225    1.992               0              15               5         -0.0299]
